Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D22,Other,17,Mimico (includes Humber Bay Shores) (17),2005-02-18T00:00:00Z,2005
D32,Shooting,35,Westminster-Branson (35),2005-02-28T00:00:00Z,2005
D33,Shooting,42,Banbury-Don Mills (42),2005-03-05T00:00:00Z,2005
D22,Stabbing,16,Stonegate-Queensway (16),2005-03-11T00:00:00Z,2005
D51,Shooting,75,Church-Yonge Corridor (75),2005-03-25T01:00:00Z,2005
D41,Shooting,122,Birchcliffe-Cliffside (122),2005-04-13T00:00:00Z,2005
D11,Shooting,85,South Parkdale (85),2005-04-18T00:00:00Z,2005
D52,Other,77,Waterfront Communities-The Island (77),2005-04-19T00:00:00Z,2005
D31,Shooting,21,Humber Summit (21),2005-04-24T00:00:00Z,2005
D42,Stabbing,129,Agincourt North (129),2005-05-04T00:00:00Z,2005
D14,Shooting,83,Dufferin Grove (83),2005-05-05T00:00:00Z,2005
D31,Stabbing,25,Glenfield-Jane Heights (25),2005-05-05T00:00:00Z,2005
D54,Shooting,69,Blake-Jones (69),2005-05-08T00:00:00Z,2005
D51,Shooting,75,Church-Yonge Corridor (75),2005-05-14T00:00:00Z,2005
D41,Shooting,137,Woburn (137),2005-05-15T00:00:00Z,2005
D42,Shooting,136,West Hill (136),2005-05-18T00:00:00Z,2005
D31,Stabbing,25,Glenfield-Jane Heights (25),2005-05-27T00:00:00Z,2005
D55,Shooting,62,East End-Danforth (62),2005-06-12T00:00:00Z,2005
D31,Shooting,24,Black Creek (24),2005-06-24T00:00:00Z,2005
D32,Stabbing,32,Englemount-Lawrence (32),2005-06-25T00:00:00Z,2005
D14,Shooting,93,Dovercourt-Wallace Emerson-Junction (93),2005-06-29T00:00:00Z,2005
D23,Shooting,3,Thistletown-Beaumond Heights (3),2005-07-06T00:00:00Z,2005
D41,Other,121,Oakridge (121),2005-07-17T00:00:00Z,2005
D12,Shooting,111,Rockcliffe-Smythe (111),2005-07-19T00:00:00Z,2005
D33,Other,45,Parkwoods-Donalda (45),2005-07-20T00:00:00Z,2005
D42,Other,136,West Hill (136),2005-07-15T00:00:00Z,2005
D31,Shooting,32,Englemount-Lawrence (32),2005-07-30T00:00:00Z,2005
D42,Shooting,117,L'Amoreaux (117),2005-07-30T00:00:00Z,2005
